datetime,dia,mes,ano,hora,nivel_cm
2022-07-05 10:00:00,5,7,2022,10,599.0
2022-07-05 11:00:00,5,7,2022,11,599.0
2022-07-05 12:00:00,5,7,2022,12,598.0
2022-07-05 13:00:00,5,7,2022,13,597.0
2022-07-05 14:00:00,5,7,2022,14,597.0
2022-07-05 15:00:00,5,7,2022,15,596.0
2022-07-05 16:00:00,5,7,2022,16,595.0
2022-07-05 17:00:00,5,7,2022,17,594.0
2022-07-05 18:00:00,5,7,2022,18,593.0
2022-07-05 19:00:00,5,7,2022,19,592.0
2022-07-05 20:00:00,5,7,2022,20,591.0
2022-07-05 21:00:00,5,7,2022,21,589.0
2022-07-05 22:00:00,5,7,2022,22,588.0
2022-07-05 23:00:00,5,7,2022,23,587.0
2022-07-06 00:00:00,6,7,2022,0,586.0
2022-07-06 01:00:00,6,7,2022,1,585.0
2022-07-06 02:00:00,6,7,2022,2,584.0
2022-07-06 03:00:00,6,7,2022,3,583.0
2022-07-06 04:00:00,6,7,2022,4,582.0
2022-07-06 05:00:00,6,7,2022,5,581.0
2022-07-06 06:00:00,6,7,2022,6,580.0
2022-07-06 07:00:00,6,7,2022,7,579.0
2022-07-06 08:00:00,6,7,2022,8,578.0
2022-07-06 09:00:00,6,7,2022,9,576.0
2022-07-06 10:00:00,6,7,2022,10,576.0
2022-07-06 11:00:00,6,7,2022,11,575.0
2022-07-06 12:00:00,6,7,2022,12,574.0
2022-07-06 13:00:00,6,7,2022,13,573.0
2022-07-06 14:00:00,6,7,2022,14,572.0
2022-07-06 15:00:00,6,7,2022,15,571.0
2022-07-06 16:00:00,6,7,2022,16,569.0
2022-07-06 17:00:00,6,7,2022,17,568.0
2022-07-06 18:00:00,6,7,2022,18,566.0
2022-07-06 19:00:00,6,7,2022,19,565.0
2022-07-06 20:00:00,6,7,2022,20,563.0
2022-07-06 21:00:00,6,7,2022,21,562.0
2022-07-06 22:00:00,6,7,2022,22,560.0
2022-07-06 23:00:00,6,7,2022,23,559.0
2022-07-07 00:00:00,7,7,2022,0,557.0
2022-07-07 01:00:00,7,7,2022,1,556.0
2022-07-07 02:00:00,7,7,2022,2,554.0
2022-07-07 03:00:00,7,7,2022,3,553.0
2022-07-07 04:00:00,7,7,2022,4,551.0
2022-07-07 05:00:00,7,7,2022,5,549.0
2022-07-07 06:00:00,7,7,2022,6,548.0
2022-07-07 07:00:00,7,7,2022,7,546.0
2022-07-07 08:00:00,7,7,2022,8,544.0
2022-07-07 09:00:00,7,7,2022,9,543.0
2022-07-07 10:00:00,7,7,2022,10,541.0
2022-07-07 11:00:00,7,7,2022,11,540.0
2022-07-07 12:00:00,7,7,2022,12,538.0
2022-07-07 13:00:00,7,7,2022,13,536.0
2022-07-07 14:00:00,7,7,2022,14,534.0
2022-07-07 15:00:00,7,7,2022,15,531.0
2022-07-07 16:00:00,7,7,2022,16,529.0
2022-07-07 17:00:00,7,7,2022,17,527.0
2022-07-07 18:00:00,7,7,2022,18,524.0
2022-07-07 19:00:00,7,7,2022,19,522.0
2022-07-07 20:00:00,7,7,2022,20,519.0
2022-07-07 21:00:00,7,7,2022,21,516.0
2022-07-07 22:00:00,7,7,2022,22,514.0
2022-07-07 23:00:00,7,7,2022,23,511.0
2022-07-08 00:00:00,8,7,2022,0,508.0
2022-07-08 01:00:00,8,7,2022,1,505.0
2022-07-08 02:00:00,8,7,2022,2,502.0
2022-07-08 03:00:00,8,7,2022,3,499.0
2022-07-08 04:00:00,8,7,2022,4,495.0
2022-07-08 05:00:00,8,7,2022,5,492.0
2022-07-08 06:00:00,8,7,2022,6,489.0
2022-07-08 07:00:00,8,7,2022,7,485.0
2022-07-08 08:00:00,8,7,2022,8,482.0
2022-07-08 09:00:00,8,7,2022,9,479.0
